Order No,Company Name,Order Date,Year,Quarter,Product Name,Category Name,Price,Quantity,Total
10254,Chop-suey Chinese,8/11/2017,2017,3,Guaraná Fantástica,Beverages,3.6,15,54
10255,Richter Supermarkt,8/12/2017,2017,3,Raclette Courdavault,Dairy Products,44,30,1320
10255,Richter Supermarkt,8/12/2017,2017,3,Pavlova,Confections,13.9,35,486.5
10255,Richter Supermarkt,8/12/2017,2017,3,Inlagd Sill,Seafood,15.2,25,380
10255,Richter Supermarkt,8/12/2017,2017,3,Chang,Beverages,15.2,20,304
10256,Wellington Importadora,8/15/2017,2017,3,Perth Pasties,Meat/Poultry,26.2,15,393
10256,Wellington Importadora,8/15/2017,2017,3,Original Frankfurter grüne Soße,Condiments,10.4,12,124.8
10257,HILARIÓN-Abastos,8/16/2017,2017,3,Schoggi Schokolade,Confections,35.1,25,877.5
10257,HILARIÓN-Abastos,8/16/2017,2017,3,Original Frankfurter grüne Soße,Condiments,10.4,15,156
10257,HILARIÓN-Abastos,8/16/2017,2017,3,Chartreuse verte,Beverages,14.4,6,86.4
10258,Ernst Handel,8/17/2017,2017,3,Chef Anton's Gumbo Mix,Condiments,17,65,1105
10258,Ernst Handel,8/17/2017,2017,3,Chang,Beverages,15.2,50,760
10258,Ernst Handel,8/17/2017,2017,3,Mascarpone Fabioli,Dairy Products,25.6,6,153.6
10259,Centro comercial Moctezuma,8/18/2017,2017,3,Sir Rodney's Scones,Confections,8,10,80
10259,Centro comercial Moctezuma,8/18/2017,2017,3,Gravad lax,Seafood,20.8,1,20.8
10260,Ottilies Käseladen,8/19/2017,2017,3,Ravioli Angelo,Grains/Cereals,15.6,50,780
10260,Ottilies Käseladen,8/19/2017,2017,3,Tarte au sucre,Confections,39.4,15,591
10260,Ottilies Käseladen,8/19/2017,2017,3,Outback Lager,Beverages,12,21,252
10260,Ottilies Käseladen,8/19/2017,2017,3,Jack's New England Clam Chowder,Seafood,7.7,16,123.2
10261,Que Delícia,8/19/2017,2017,3,Steeleye Stout,Beverages,14.4,20,288
10261,Que Delícia,8/19/2017,2017,3,Sir Rodney's Scones,Confections,8,20,160
10262,Rattlesnake Canyon Grocery,8/22/2017,2017,3,Uncle Bob's Organic Dried Pears,Produce,24,15,360
10262,Rattlesnake Canyon Grocery,8/22/2017,2017,3,Chef Anton's Gumbo Mix,Condiments,17,12,204
10262,Rattlesnake Canyon Grocery,8/22/2017,2017,3,Gnocchi di nonna Alice,Grains/Cereals,30.4,2,60.8
10263,Ernst Handel,8/23/2017,2017,3,Nord-Ost Matjeshering,Seafood,20.7,60,1242
10263,Ernst Handel,8/23/2017,2017,3,Pavlova,Confections,13.9,60,834
10263,Ernst Handel,8/23/2017,2017,3,Longlife Tofu,Produce,8,36,288
10263,Ernst Handel,8/23/2017,2017,3,Guaraná Fantástica,Beverages,3.6,28,100.8
10264,Folk och fä HB,8/24/2017,2017,3,Chang,Beverages,15.2,35,532
10264,Folk och fä HB,8/24/2017,2017,3,Jack's New England Clam Chowder,Seafood,7.7,25,192.5
10265,Blondel père et fils,8/25/2017,2017,3,Alice Mutton,Meat/Poultry,31.2,30,936
10265,Blondel père et fils,8/25/2017,2017,3,Outback Lager,Beverages,12,20,240
10266,Wartian Herkku,8/26/2017,2017,3,Queso Manchego La Pastora,Dairy Products,30.4,12,364.8
10267,Frankenversand,8/29/2017,2017,3,Raclette Courdavault,Dairy Products,44,70,3080
10267,Frankenversand,8/29/2017,2017,3,Boston Crab Meat,Seafood,14.7,50,735
10267,Frankenversand,8/29/2017,2017,3,Lakkalikööri,Beverages,14.4,15,216
10268,GROSELLA-Restaurante,8/30/2017,2017,3,Thüringer Rostbratwurst,Meat/Poultry,99,10,990
10268,GROSELLA-Restaurante,8/30/2017,2017,3,Mozzarella di Giovanni,Dairy Products,27.8,4,111.2
10269,White Clover Markets,8/31/2017,2017,3,Mozzarella di Giovanni,Dairy Products,27.8,20,556
10269,White Clover Markets,8/31/2017,2017,3,Geitost,Dairy Products,2,60,120
10270,Wartian Herkku,9/1/2017,2017,3,Ipoh Coffee,Beverages,36.8,25,920
10270,Wartian Herkku,9/1/2017,2017,3,Inlagd Sill,Seafood,15.2,30,456
10271,Split Rail Beer & Ale,9/1/2017,2017,3,Geitost,Dairy Products,2,24,48
10272,Rattlesnake Canyon Grocery,9/2/2017,2017,3,Mozzarella di Giovanni,Dairy Products,27.8,24,667.2
10272,Rattlesnake Canyon Grocery,9/2/2017,2017,3,Gorgonzola Telino,Dairy Products,10,40,400
10272,Rattlesnake Canyon Grocery,9/2/2017,2017,3,Sir Rodney's Marmalade,Confections,64.8,6,388.8
10273,QUICK-Stop,9/5/2017,2017,3,Boston Crab Meat,Seafood,14.7,60,882
10273,QUICK-Stop,9/5/2017,2017,3,Ikura,Seafood,24.8,24,595.2
10273,QUICK-Stop,9/5/2017,2017,3,Lakkalikööri,Beverages,14.4,33,475.2
10273,QUICK-Stop,9/5/2017,2017,3,Gorgonzola Telino,Dairy Products,10,15,150
10273,QUICK-Stop,9/5/2017,2017,3,Geitost,Dairy Products,2,20,40
10274,Vins et alcools Chevalier,9/6/2017,2017,3,Fløtemysost,Dairy Products,17.2,20,344
10274,Vins et alcools Chevalier,9/6/2017,2017,3,Mozzarella di Giovanni,Dairy Products,27.8,7,194.6
10275,Magazzini Alimentari Riuniti,9/7/2017,2017,3,Raclette Courdavault,Dairy Products,44,6,264
10275,Magazzini Alimentari Riuniti,9/7/2017,2017,3,Guaraná Fantástica,Beverages,3.6,12,43.2
10276,Tortuga Restaurante,9/8/2017,2017,3,Ikura,Seafood,24.8,15,372
10276,Tortuga Restaurante,9/8/2017,2017,3,Konbu,Seafood,4.8,10,48
10277,Morgenstern Gesundkost,9/9/2017,2017,3,Rössle Sauerkraut,Produce,36.4,20,728
10277,Morgenstern Gesundkost,9/9/2017,2017,3,Tarte au sucre,Confections,39.4,12,472.8
10278,Berglunds snabbköp,9/12/2017,2017,3,Raclette Courdavault,Dairy Products,44,15,660
10278,Berglunds snabbköp,9/12/2017,2017,3,Röd Kaviar,Seafood,12,25,300
10278,Berglunds snabbköp,9/12/2017,2017,3,Vegie-spread,Condiments,35.1,8,280.8
10278,Berglunds snabbköp,9/12/2017,2017,3,Gula Malacca,Condiments,15.5,16,248
10279,Lehmanns Marktstand,9/13/2017,2017,3,Alice Mutton,Meat/Poultry,31.2,15,468
10280,Berglunds snabbköp,9/14/2017,2017,3,Pâté chinois,Meat/Poultry,19.2,20,384
10280,Berglunds snabbköp,9/14/2017,2017,3,Rhönbräu Klosterbier,Beverages,6.2,30,186
10280,Berglunds snabbköp,9/14/2017,2017,3,Guaraná Fantástica,Beverages,3.6,12,43.2
10281,Romero y tomillo,9/14/2017,2017,3,Steeleye Stout,Beverages,14.4,4,57.6
10281,Romero y tomillo,9/14/2017,2017,3,Guaraná Fantástica,Beverages,3.6,6,21.6
10281,Romero y tomillo,9/14/2017,2017,3,Teatime Chocolate Biscuits,Confections,7.3,1,7.3
10282,Romero y tomillo,9/15/2017,2017,3,Nord-Ost Matjeshering,Seafood,20.7,6,124.2
10282,Romero y tomillo,9/15/2017,2017,3,Ravioli Angelo,Grains/Cereals,15.6,2,31.2
10283,LILA-Supermercado,9/16/2017,2017,3,Camembert Pierrot,Dairy Products,27.2,35,952
10283,LILA-Supermercado,9/16/2017,2017,3,Genen Shouyu,Condiments,12.4,20,248
10283,LILA-Supermercado,9/16/2017,2017,3,Teatime Chocolate Biscuits,Confections,7.3,18,131.4
10283,LILA-Supermercado,9/16/2017,2017,3,Mozzarella di Giovanni,Dairy Products,27.8,3,83.4
10284,Lehmanns Marktstand,9/19/2017,2017,3,Camembert Pierrot,Dairy Products,27.2,20,544
10284,Lehmanns Marktstand,9/19/2017,2017,3,Schoggi Schokolade,Confections,35.1,15,526.5
10284,Lehmanns Marktstand,9/19/2017,2017,3,Gula Malacca,Condiments,15.5,21,325.5
10284,Lehmanns Marktstand,9/19/2017,2017,3,Laughing Lumberjack Lager,Beverages,11.2,5,56
10285,QUICK-Stop,9/20/2017,2017,3,Perth Pasties,Meat/Poultry,26.2,36,943.2
10285,QUICK-Stop,9/20/2017,2017,3,Chai,Beverages,14.4,45,648
10285,QUICK-Stop,9/20/2017,2017,3,Boston Crab Meat,Seafood,14.7,40,588
10286,QUICK-Stop,9/21/2017,2017,3,Tarte au sucre,Confections,39.4,40,1576
10286,QUICK-Stop,9/21/2017,2017,3,Steeleye Stout,Beverages,14.4,100,1440
10287,Ricardo Adocicados,9/22/2017,2017,3,Pavlova,Confections,13.9,40,556
10287,Ricardo Adocicados,9/22/2017,2017,3,Sasquatch Ale,Beverages,11.2,20,224
10287,Ricardo Adocicados,9/22/2017,2017,3,Spegesild,Seafood,9.6,15,144
10288,Reggiani Caseifici,9/23/2017,2017,3,Tourtière,Meat/Poultry,5.9,10,59
10288,Reggiani Caseifici,9/23/2017,2017,3,Scottish Longbreads,Confections,10,3,30
10289,B's Beverages,9/26/2017,2017,3,Aniseed Syrup,Condiments,8,30,240
10289,B's Beverages,9/26/2017,2017,3,Wimmers gute Semmelknödel,Grains/Cereals,26.6,9,239.4
10290,Comércio Mineiro,9/27/2017,2017,3,Thüringer Rostbratwurst,Meat/Poultry,99,15,1485
10290,Comércio Mineiro,9/27/2017,2017,3,Chef Anton's Gumbo Mix,Condiments,17,20,340
10290,Comércio Mineiro,9/27/2017,2017,3,Maxilaku,Confections,16,15,240
10290,Comércio Mineiro,9/27/2017,2017,3,Original Frankfurter grüne Soße,Condiments,10.4,10,104
10291,Que Delícia,9/27/2017,2017,3,Gula Malacca,Condiments,15.5,24,372
10291,Que Delícia,9/27/2017,2017,3,Konbu,Seafood,4.8,20,96
10291,Que Delícia,9/27/2017,2017,3,Manjimup Dried Apples,Produce,42.4,2,84.8
10292,Tradição Hipermercados,9/28/2017,2017,3,Sir Rodney's Marmalade,Confections,64.8,20,1296
10293,Tortuga Restaurante,9/29/2017,2017,3,Carnarvon Tigers,Seafood,50,12,600
10293,Tortuga Restaurante,9/29/2017,2017,3,Vegie-spread,Condiments,35.1,5,175.5
10293,Tortuga Restaurante,9/29/2017,2017,3,Rhönbräu Klosterbier,Beverages,6.2,6,37.2
10293,Tortuga Restaurante,9/29/2017,2017,3,Guaraná Fantástica,Beverages,3.6,10,36
10294,Rattlesnake Canyon Grocery,9/30/2017,2017,3,Camembert Pierrot,Dairy Products,27.2,21,571.2
10294,Rattlesnake Canyon Grocery,9/30/2017,2017,3,Ipoh Coffee,Beverages,36.8,15,552
10294,Rattlesnake Canyon Grocery,9/30/2017,2017,3,Alice Mutton,Meat/Poultry,31.2,15,468
10294,Rattlesnake Canyon Grocery,9/30/2017,2017,3,Chai,Beverages,14.4,18,259.2
10294,Rattlesnake Canyon Grocery,9/30/2017,2017,3,Rhönbräu Klosterbier,Beverages,6.2,6,37.2
10295,Vins et alcools Chevalier,10/3/2017,2017,4,Gnocchi di nonna Alice,Grains/Cereals,30.4,4,121.6
10296,LILA-Supermercado,10/4/2017,2017,4,Gudbrandsdalsost,Dairy Products,28.8,15,432
10296,LILA-Supermercado,10/4/2017,2017,4,Pavlova,Confections,13.9,30,417
10296,LILA-Supermercado,10/4/2017,2017,4,Queso Cabrales,Dairy Products,16.8,12,201.6
10297,Blondel père et fils,10/5/2017,2017,4,Chartreuse verte,Beverages,14.4,60,864
10297,Blondel père et fils,10/5/2017,2017,4,Mozzarella di Giovanni,Dairy Products,27.8,20,556
10298,Hungry Owl All-Night Grocers,10/6/2017,2017,4,Raclette Courdavault,Dairy Products,44,30,1320
10298,Hungry Owl All-Night Grocers,10/6/2017,2017,4,Chang,Beverages,15.2,40,608
10298,Hungry Owl All-Night Grocers,10/6/2017,2017,4,Inlagd Sill,Seafood,15.2,40,608
10298,Hungry Owl All-Night Grocers,10/6/2017,2017,4,Tarte au sucre,Confections,39.4,15,591
10299,Ricardo Adocicados,10/7/2017,2017,4,Outback Lager,Beverages,12,20,240
10299,Ricardo Adocicados,10/7/2017,2017,4,Teatime Chocolate Biscuits,Confections,7.3,15,109.5
10300,Magazzini Alimentari Riuniti,10/10/2017,2017,4,Louisiana Hot Spiced Okra,Condiments,13.6,30,408
10300,Magazzini Alimentari Riuniti,10/10/2017,2017,4,Scottish Longbreads,Confections,10,20,200
10301,Die Wandernde Kuh,10/10/2017,2017,4,Gnocchi di nonna Alice,Grains/Cereals,30.4,20,608
10301,Die Wandernde Kuh,10/10/2017,2017,4,Boston Crab Meat,Seafood,14.7,10,147
10302,Suprêmes délices,10/11/2017,2017,4,Alice Mutton,Meat/Poultry,31.2,40,1248
10302,Suprêmes délices,10/11/2017,2017,4,Rössle Sauerkraut,Produce,36.4,28,1019.2
10302,Suprêmes délices,10/11/2017,2017,4,Ipoh Coffee,Beverages,36.8,12,441.6
10303,Godos Cocina Típica,10/12/2017,2017,4,Boston Crab Meat,Seafood,14.7,40,588
10303,Godos Cocina Típica,10/12/2017,2017,4,Louisiana Fiery Hot Pepper Sauce,Condiments,16.8,30,504
10303,Godos Cocina Típica,10/12/2017,2017,4,Scottish Longbreads,Confections,10,15,150
10304,Tortuga Restaurante,10/13/2017,2017,4,Maxilaku,Confections,16,30,480
10304,Tortuga Restaurante,10/13/2017,2017,4,Raclette Courdavault,Dairy Products,44,10,440
10304,Tortuga Restaurante,10/13/2017,2017,4,Fløtemysost,Dairy Products,17.2,2,34.4
10305,Old World Delicatessen,10/14/2017,2017,4,Thüringer Rostbratwurst,Meat/Poultry,99,25,2475
10305,Old World Delicatessen,10/14/2017,2017,4,Carnarvon Tigers,Seafood,50,25,1250
10305,Old World Delicatessen,10/14/2017,2017,4,Chartreuse verte,Beverages,14.4,30,432
10306,Romero y tomillo,10/17/2017,2017,4,Perth Pasties,Meat/Poultry,26.2,10,262
10306,Romero y tomillo,10/17/2017,2017,4,Nord-Ost Matjeshering,Seafood,20.7,10,207
10306,Romero y tomillo,10/17/2017,2017,4,Tourtière,Meat/Poultry,5.9,5,29.5
10307,Lonesome Pine Restaurant,10/18/2017,2017,4,Tarte au sucre,Confections,39.4,10,394
10307,Lonesome Pine Restaurant,10/18/2017,2017,4,Scottish Longbreads,Confections,10,3,30
10308,Ana Trujillo Emparedados y helados,10/19/2017,2017,4,Outback Lager,Beverages,12,5,60
10308,Ana Trujillo Emparedados y helados,10/19/2017,2017,4,Gudbrandsdalsost,Dairy Products,28.8,1,28.8
10309,Hungry Owl All-Night Grocers,10/20/2017,2017,4,Ipoh Coffee,Beverages,36.8,20,736
10309,Hungry Owl All-Night Grocers,10/20/2017,2017,4,Grandma's Boysenberry Spread,Condiments,20,30,600
10309,Hungry Owl All-Night Grocers,10/20/2017,2017,4,Chef Anton's Cajun Seasoning,Condiments,17.6,20,352
10309,Hungry Owl All-Night Grocers,10/20/2017,2017,4,Fløtemysost,Dairy Products,17.2,3,51.6
10309,Hungry Owl All-Night Grocers,10/20/2017,2017,4,Singaporean Hokkien Fried Mee,Grains/Cereals,11.2,2,22.4
10310,The Big Cheese,10/21/2017,2017,4,Tarte au sucre,Confections,39.4,5,197
10310,The Big Cheese,10/21/2017,2017,4,Pavlova,Confections,13.9,10,139
10311,Du monde entier,10/21/2017,2017,4,Gudbrandsdalsost,Dairy Products,28.8,7,201.6
10311,Du monde entier,10/21/2017,2017,4,Singaporean Hokkien Fried Mee,Grains/Cereals,11.2,6,67.2
10312,Die Wandernde Kuh,10/24/2017,2017,4,Ipoh Coffee,Beverages,36.8,24,883.2
10312,Die Wandernde Kuh,10/24/2017,2017,4,Perth Pasties,Meat/Poultry,26.2,20,524
10312,Die Wandernde Kuh,10/24/2017,2017,4,Rössle Sauerkraut,Produce,36.4,4,145.6
10312,Die Wandernde Kuh,10/24/2017,2017,4,Rhönbräu Klosterbier,Beverages,6.2,10,62
10313,QUICK-Stop,10/25/2017,2017,4,Inlagd Sill,Seafood,15.2,12,182.4
10314,Rattlesnake Canyon Grocery,10/26/2017,2017,4,Mascarpone Fabioli,Dairy Products,25.6,40,1024
10314,Rattlesnake Canyon Grocery,10/26/2017,2017,4,Tarte au sucre,Confections,39.4,25,985
10314,Rattlesnake Canyon Grocery,10/26/2017,2017,4,Escargots de Bourgogne,Seafood,10.6,30,318
10315,Island Trading,10/27/2017,2017,4,Outback Lager,Beverages,12,30,360
10315,Island Trading,10/27/2017,2017,4,Sasquatch Ale,Beverages,11.2,14,156.8
10316,Rattlesnake Canyon Grocery,10/28/2017,2017,4,Tarte au sucre,Confections,39.4,70,2758
10316,Rattlesnake Canyon Grocery,10/28/2017,2017,4,Jack's New England Clam Chowder,Seafood,7.7,10,77
10317,Lonesome Pine Restaurant,10/31/2017,2017,4,Chai,Beverages,14.4,20,288
10318,Island Trading,11/1/2017,2017,4,Jack's New England Clam Chowder,Seafood,7.7,20,154
10318,Island Trading,11/1/2017,2017,4,Lakkalikööri,Beverages,14.4,6,86.4
10319,Tortuga Restaurante,11/2/2017,2017,4,Rössle Sauerkraut,Produce,36.4,14,509.6
10319,Tortuga Restaurante,11/2/2017,2017,4,Lakkalikööri,Beverages,14.4,30,432
10319,Tortuga Restaurante,11/2/2017,2017,4,Alice Mutton,Meat/Poultry,31.2,8,249.6
10320,Wartian Herkku,11/3/2017,2017,4,Fløtemysost,Dairy Products,17.2,30,516
10321,Island Trading,11/3/2017,2017,4,Steeleye Stout,Beverages,14.4,10,144
10322,Pericles Comidas clásicas,11/4/2017,2017,4,Filo Mix,Grains/Cereals,5.6,20,112
10323,Königlich Essen,11/7/2017,2017,4,Genen Shouyu,Condiments,12.4,5,62
10323,Königlich Essen,11/7/2017,2017,4,Chartreuse verte,Beverages,14.4,4,57.6
10323,Königlich Essen,11/7/2017,2017,4,NuNuCa Nuß-Nougat-Creme,Confections,11.2,4,44.8
10324,Save-a-lot Markets,11/8/2017,2017,4,Vegie-spread,Condiments,35.1,80,2808
10324,Save-a-lot Markets,11/8/2017,2017,4,Raclette Courdavault,Dairy Products,44,40,1760
10324,Save-a-lot Markets,11/8/2017,2017,4,Steeleye Stout,Beverages,14.4,70,1008
10324,Save-a-lot Markets,11/8/2017,2017,4,Pavlova,Confections,13.9,21,291.9
10324,Save-a-lot Markets,11/8/2017,2017,4,Spegesild,Seafood,9.6,30,288
10325,Königlich Essen,11/9/2017,2017,4,Mozzarella di Giovanni,Dairy Products,27.8,40,1112
10325,Königlich Essen,11/9/2017,2017,4,Tofu,Produce,18.6,9,167.4
10325,Königlich Essen,11/9/2017,2017,4,Grandma's Boysenberry Spread,Condiments,20,6,120
10325,Königlich Essen,11/9/2017,2017,4,Konbu,Seafood,4.8,12,57.6
10325,Königlich Essen,11/9/2017,2017,4,Gorgonzola Telino,Dairy Products,10,4,40
10326,Bólido Comidas preparadas,11/10/2017,2017,4,Chef Anton's Cajun Seasoning,Condiments,17.6,24,422.4
10326,Bólido Comidas preparadas,11/10/2017,2017,4,Rhönbräu Klosterbier,Beverages,6.2,50,310
10326,Bólido Comidas preparadas,11/10/2017,2017,4,Ravioli Angelo,Grains/Cereals,15.6,16,249.6
10327,Folk och fä HB,11/11/2017,2017,4,Queso Cabrales,Dairy Products,16.8,50,840
10327,Folk och fä HB,11/11/2017,2017,4,Nord-Ost Matjeshering,Seafood,20.7,35,724.5
10327,Folk och fä HB,11/11/2017,2017,4,Chang,Beverages,15.2,25,380
10327,Folk och fä HB,11/11/2017,2017,4,Escargots de Bourgogne,Seafood,10.6,30,318
10328,Furia Bacalhau e Frutos do Mar,11/14/2017,2017,4,Louisiana Fiery Hot Pepper Sauce,Condiments,16.8,40,672
10328,Furia Bacalhau e Frutos do Mar,11/14/2017,2017,4,Raclette Courdavault,Dairy Products,44,9,396
10328,Furia Bacalhau e Frutos do Mar,11/14/2017,2017,4,Scottish Longbreads,Confections,10,10,100
10329,Split Rail Beer & Ale,11/15/2017,2017,4,Côte de Blaye,Beverages,210.8,20,4216
10329,Split Rail Beer & Ale,11/15/2017,2017,4,Gnocchi di nonna Alice,Grains/Cereals,30.4,12,364.8
10329,Split Rail Beer & Ale,11/15/2017,2017,4,Nord-Ost Matjeshering,Seafood,20.7,8,165.6
10329,Split Rail Beer & Ale,11/15/2017,2017,4,Teatime Chocolate Biscuits,Confections,7.3,10,73
10330,LILA-Supermercado,11/16/2017,2017,4,Gumbär Gummibärchen,Confections,24.9,50,1245
10330,LILA-Supermercado,11/16/2017,2017,4,Mozzarella di Giovanni,Dairy Products,27.8,25,695
10331,Bon app',11/16/2017,2017,4,Tourtière,Meat/Poultry,5.9,15,88.5
10332,Mère Paillarde,11/17/2017,2017,4,Carnarvon Tigers,Seafood,50,40,2000
10332,Mère Paillarde,11/17/2017,2017,4,Zaanse koeken,Confections,7.6,16,121.6
10332,Mère Paillarde,11/17/2017,2017,4,Singaporean Hokkien Fried Mee,Grains/Cereals,11.2,10,112
10333,Wartian Herkku,11/18/2017,2017,4,Fløtemysost,Dairy Products,17.2,40,688
10333,Wartian Herkku,11/18/2017,2017,4,Tofu,Produce,18.6,10,186
10333,Wartian Herkku,11/18/2017,2017,4,Sir Rodney's Scones,Confections,8,10,80
10334,Victuailles en stock,11/21/2017,2017,4,Scottish Longbreads,Confections,10,10,100
10334,Victuailles en stock,11/21/2017,2017,4,Filo Mix,Grains/Cereals,5.6,8,44.8
10335,Hungry Owl All-Night Grocers,11/22/2017,2017,4,Manjimup Dried Apples,Produce,42.4,48,2035.2
10335,Hungry Owl All-Night Grocers,11/22/2017,2017,4,Gorgonzola Telino,Dairy Products,10,25,250
10335,Hungry Owl All-Night Grocers,11/22/2017,2017,4,Mascarpone Fabioli,Dairy Products,25.6,6,153.6
10335,Hungry Owl All-Night Grocers,11/22/2017,2017,4,Chang,Beverages,15.2,7,106.4
10336,Princesa Isabel Vinhos,11/23/2017,2017,4,Chef Anton's Cajun Seasoning,Condiments,17.6,18,316.8
10337,Frankenversand,11/24/2017,2017,4,Mozzarella di Giovanni,Dairy Products,27.8,25,695
10337,Frankenversand,11/24/2017,2017,4,Gumbär Gummibärchen,Confections,24.9,24,597.6
10337,Frankenversand,11/24/2017,2017,4,Gravad lax,Seafood,20.8,28,582.4
10337,Frankenversand,11/24/2017,2017,4,Inlagd Sill,Seafood,15.2,20,304
10337,Frankenversand,11/24/2017,2017,4,Tunnbröd,Grains/Cereals,7.2,40,288
10338,Old World Delicatessen,11/25/2017,2017,4,Alice Mutton,Meat/Poultry,31.2,20,624
10338,Old World Delicatessen,11/25/2017,2017,4,Nord-Ost Matjeshering,Seafood,20.7,15,310.5
10339,Mère Paillarde,11/28/2017,2017,4,Alice Mutton,Meat/Poultry,31.2,70,2184
10339,Mère Paillarde,11/28/2017,2017,4,Tarte au sucre,Confections,39.4,28,1103.2
10339,Mère Paillarde,11/28/2017,2017,4,Chef Anton's Cajun Seasoning,Condiments,17.6,10,176
10340,Bon app',11/29/2017,2017,4,Ipoh Coffee,Beverages,36.8,40,1472
10340,Bon app',11/29/2017,2017,4,Carnarvon Tigers,Seafood,50,20,1000
10340,Bon app',11/29/2017,2017,4,Jack's New England Clam Chowder,Seafood,7.7,12,92.4
10341,Simons bistro,11/29/2017,2017,4,Raclette Courdavault,Dairy Products,44,9,396
10341,Simons bistro,11/29/2017,2017,4,Geitost,Dairy Products,2,8,16
10342,Frankenversand,11/30/2017,2017,4,Pâté chinois,Meat/Poultry,19.2,40,768
10342,Frankenversand,11/30/2017,2017,4,Inlagd Sill,Seafood,15.2,40,608
10342,Frankenversand,11/30/2017,2017,4,Gorgonzola Telino,Dairy Products,10,56,560
10342,Frankenversand,11/30/2017,2017,4,Chang,Beverages,15.2,24,364.8
10343,Lehmanns Marktstand,12/1/2017,2017,4,Wimmers gute Semmelknödel,Grains/Cereals,26.6,50,1330
10343,Lehmanns Marktstand,12/1/2017,2017,4,Lakkalikööri,Beverages,14.4,15,216
10343,Lehmanns Marktstand,12/1/2017,2017,4,Scottish Longbreads,Confections,10,4,40
10344,White Clover Markets,12/2/2017,2017,4,Northwoods Cranberry Sauce,Condiments,32,70,2240
10344,White Clover Markets,12/2/2017,2017,4,Chef Anton's Cajun Seasoning,Condiments,17.6,35,616
10345,QUICK-Stop,12/5/2017,2017,4,Northwoods Cranberry Sauce,Condiments,32,70,2240
10345,QUICK-Stop,12/5/2017,2017,4,Teatime Chocolate Biscuits,Confections,7.3,80,584
10345,QUICK-Stop,12/5/2017,2017,4,Singaporean Hokkien Fried Mee,Grains/Cereals,11.2,9,100.8
10346,Rattlesnake Canyon Grocery,12/6/2017,2017,4,Alice Mutton,Meat/Poultry,31.2,36,1123.2
10346,Rattlesnake Canyon Grocery,12/6/2017,2017,4,Gnocchi di nonna Alice,Grains/Cereals,30.4,20,608
10347,Familia Arquibaldo,12/7/2017,2017,4,Chartreuse verte,Beverages,14.4,50,720
10347,Familia Arquibaldo,12/7/2017,2017,4,NuNuCa Nuß-Nougat-Creme,Confections,11.2,10,112
10347,Familia Arquibaldo,12/7/2017,2017,4,Boston Crab Meat,Seafood,14.7,4,58.8
10347,Familia Arquibaldo,12/7/2017,2017,4,Rhönbräu Klosterbier,Beverages,6.2,6,37.2
10348,Die Wandernde Kuh,12/8/2017,2017,4,Chai,Beverages,14.4,15,216
10348,Die Wandernde Kuh,12/8/2017,2017,4,Tunnbröd,Grains/Cereals,7.2,25,180
10349,Split Rail Beer & Ale,12/9/2017,2017,4,Tourtière,Meat/Poultry,5.9,24,141.6
10350,La maison d'Asie,12/12/2017,2017,4,Gudbrandsdalsost,Dairy Products,28.8,18,518.4
10350,La maison d'Asie,12/12/2017,2017,4,Valkoinen suklaa,Confections,13,15,195
10351,Ernst Handel,12/12/2017,2017,4,Côte de Blaye,Beverages,210.8,20,4216
10351,Ernst Handel,12/12/2017,2017,4,Gula Malacca,Condiments,15.5,77,1193.5
